arxiu,Tipus,Mida,USB,TB,VelUSB,VelTB,Ratio
1,MP4,"220,413159","1,211143017","1,044230938","181,9877223","211,0770242","1,159842112"
2,IPA,"18,360875","0,108473778","0,0969491","169,2655624","189,3867494","1,118873483"
3,IPA,"28,088072","0,164490938","0,144749165","170,7575646","194,0465223","1,136386097"
4,IPA,"24,525672","0,155635834","0,118570089","157,5837094","206,8453531","1,312606194"
5,IPA,"30,999791","0,174910784","0,161409855","177,232017","192,0563712","1,083643771"
6,MP4,"121,293451","0,661100149","0,559870958","183,4721277","216,6453701","1,180808076"
7,MOV,"73,095282","0,395863056","0,337124825","184,6479","216,8196368","1,174232888"
8,MOV,"51,214562","0,290681839","0,240823031","176,1876909","212,6647186","1,207035052"
9,MOV,"52,613297","0,322310925","0,242560148","163,2377093","216,9082489","1,32878763"
10,MOV,"40,169116","0,230836868","0,202122927","174,0151662","198,7360694","1,142061774"
11,MOV,"20,552432","0,126517057","0,106451035","162,4479135","193,0693496","1,188500027"
12,MOV,"34,099949","0,194806099","0,165948153","175,0455924","205,4855597","1,173897365"
13,MOV,"37,929398","0,223834038","0,178973198","169,453218","211,9278106","1,250656748"
14,MOV,"45,397708","0,255879164","0,205241919","177,4185414","221,1912085","1,2467198"
15,MOV,"35,999084","0,204084873","0,185267925","176,3927107","194,3082374","1,101566139"
16,MOV,"37,011029","0,260007143","0,175442934","142,3462008","210,9576496","1,482004074"
17,MOV,"74,516356","0,360321045","0,361846924","206,8054504","205,9333688","0,995783082"
18,MOV,"98,056114","0,536027908","0,445559025","182,9309864","220,0743528","1,203045788"
19,MOV,"81,149799","0,434868813","0,378256083","186,6075392","214,5366664","1,149667732"
20,MOV,"58,633291","0,315540075","0,293112993","185,8188407","200,0364786","1,076513435"
21,MOV,"48,636396","0,272950172","0,221818924","178,1878193","219,2617074","1,230508956"
22,MOV,"23,058742","0,149275065","0,13005209","154,4714925","177,3038946","1,147809811"
23,MOV,"51,488585","0,335666895","0,244562864","153,3919066","210,5331288","1,372517843"
24,MOV,"60,009265","0,346384049","0,280570984","173,244886","213,8826481","1,234568321"
25,MOV,"39,398301","0,219881058","0,185267925","179,1800595","212,6558115","1,186827442"
26,MOV,"23,870524","0,147908926","0,116583109","161,386636","204,7511361","1,268699449"
27,MOV,"25,026013","0,148885965","0,13705492","168,0884625","182,5984282","1,086323389"
28,MOV,"75,655689","0,42058897","0,353019953","179,8803449","214,3099516","1,191402828"
29,MOV,"85,732717","0,449841976","0,393049002","190,5840752","218,1222103","1,144493369"
30,MOV,"89,598024","0,459739924","0,422436953","194,8884998","212,0979792","1,088304233"
31,MOV,"42,435107","0,239825964","0,198528051","176,9412548","213,7486703","1,208020541"
32,MOV,"105,478809","0,564214945","0,464618921","186,9479176","227,0221986","1,214360671"
33,MOV,"51,365824","0,288999796","0,236452103","177,7365407","217,2356406","1,222233986"
34,MOV,"40,831529","0,224902153","0,197286129","181,5524149","206,9660407","1,139979552"
35,MOV,"84,40036","0,449956894","0,394682884","187,5743235","213,8434763","1,140046635"
36,MOV,"43,703097","0,263314962","0,205241919","165,9727066","212,934557","1,282949235"
37,MOV,"35,916178","0,210161209","0,184342861","170,8982269","194,8335714","1,140056131"
38,MOV,"28,888729","0,17150116","0,137578964","168,4462604","209,9792593","1,246565277"
39,MOV,"38,015935","0,206870079","0,18057394","183,7671991","210,5283572","1,145625325"
40,MOV,"31,448306","0,192153931","0,155886889","163,6620489","201,73798","1,232649728"
41,MOV,"50,50072","0,272068024","0,232961178","185,6179911","216,7774067","1,16786851"
42,MOV,"70,675244","0,370537996","0,319982052","190,7368332","220,8725258","1,157996188"
43,MOV,"45,537225","0,336751938","0,237869978","135,2248343","191,4374626","1,41569752"
44,MOV,"47,524907","0,285329819","0,230614185","166,5613051","206,0797211","1,237260485"
45,MOV,"21,082772","0,129110098","0,111436129","163,2929751","189,191533","1,158601788"
46,MOV,"64,122876","0,355813026","0,302495956","180,2150884","211,9792832","1,176257133"
47,MOV,"23,581747","0,13731885","0,116650105","171,7298614","202,1579586","1,177185825"
48,IPA,"28,699007","0,166882992","0,140377045","171,9708323","204,442308","1,188819669"
49,MP4,"76,132838","0,388308048","0,345491171","196,0629926","220,3611681","1,123930453"
50,MP4,"119,612946","0,663374186","0,564457893","180,3099195","211,9076505","1,175241224"
51,MP4,"352,17415","1,81438303","1,582002878","194,1013249","222,6128377","1,146889841"
52,MP4,"53,820005","0,305839062","0,254122973","175,9749219","211,787248","1,203508123"
53,MP4,"387,632842","1,99815011","1,705099106","193,9958565","227,3374261","1,171867432"
54,MP4,"100,146586","0,505299091","0,429442883","198,1926897","233,2011778","1,176638645"
55,MP4,"164,500738","0,832032919","0,697589159","197,7094106","235,8132088","1,192726275"
56,MP4,"161,636633","0,843562841","0,715346098","191,6118457","225,9558464","1,179237356"
57,MP4,"70,934472","0,368430138","0,330928087","192,5316763","214,3501103","1,113323867"
58,MP4,"212,056465","1,076065063","0,955583811","197,0665829","221,9129946","1,126081304"
59,MP4,"142,221456","0,7678442","0,610083818","185,2217624","233,1178958","1,258588045"
60,MP4,"138,937329","0,709494114","0,593855858","195,8259079","233,9580004","1,194724451"
61,MP4,"366,479761","1,861158133","1,599047184","196,9095235","229,1863334","1,163916957"
62,MP4,"156,216554","0,811270952","0,701256037","192,5578052","222,7667868","1,156882664"
63,MP4,"279,57568","1,478569031","1,233117104","189,0853076","226,7227331","1,199049974"
64,MP4,"113,98292","0,621079922","0,560918093","183,523756","203,2077793","1,107255997"
65,MP4,"64,894713","0,347544193","0,32167697","186,723629","201,7387601","1,080413664"
66,MP4,"116,638082","0,614817143","0,539675951","189,7118248","216,1261434","1,139233908"
67,MP4,"35,369852","0,219016075","0,187906981","161,4943194","188,2306442","1,165555822"
68,MP4,"204,371198","1,140622854","1,025515079","179,175086","199,2863899","1,112243864"
69,MP4,"28,529566","0,182405949","0,143035173","156,4069934","199,4583942","1,275252403"
70,MP4,"148,50979","0,889312983","0,8273139","166,9938401","179,5083946","1,074940216"
71,MP4,"58,349426","0,393936157","0,33107996","148,1189907","176,2396795","1,189852015"
72,MP4,"201,433637","1,197675943","1,048190117","168,1870944","192,172807","1,142613276"
73,LRV,"22,731068","0,182331085","0,129409075","124,6691861","175,6528129","1,408951308"
74,MP4,"226,253181","1,266708136","1,124615192","178,6150848","201,1827535","1,126348056"
75,AVI,"569,0368","3,757651091","3,244451046","151,4341769","175,3876979","1,158177774"
76,AVI,"2125,094912","13,72282696","11,78016114","154,8583917","180,3960817","1,164909953"
77,IPA,"48,383179","0,244719029","0,235810995","197,7091005","205,1777907","1,037776158"
78,IPA,"287,079298","1,526337147","1,359869957","188,0838048","211,1079052","1,122414051"
79,IPA,"38,386443","0,218111038","0,204355001","175,994958","187,8419551","1,067314412"
80,IPA,"38,420874","0,21388197","0,218727112","179,6358716","175,6566604","0,97784846"
81,ZIP,"18,479369","0,112046957","0,11510396","164,9252197","160,5450325","0,973441374"